x_C,y_dB
80,36.94
81,34.29
81,34.43
82,33.82
83,36.19
84,32.43
84,37.33
85,34.37
86,35.71
86,35.08
87,37.19
88,33.01
88,35.15
89,35.14
90,37.02
91,34.4
91,35.57
92,34.79
93,35.96
93,36.68
94,34.73
95,37.5
96,37.29
96,36.89
97,37.45
98,35.63
98,36.39
99,35.5
100,36.4
100,37.45
101,36.08
102,36.53
103,36.29
103,36.21
104,36.52
105,37.43
105,36.22
106,37.96
107,39.79
107,38.81
108,37.82
109,37.11
110,37.42
110,40.48
111,38.65
112,37.97
112,39.11
113,41.55
114,39.33
115,40.08
115,39.86
116,39.24
117,38.46
117,39.58
118,39.92
119,41.05
119,41.53
120,41.83
121,41.23
122,42.14
122,40.36
123,42.96
124,42.27
124,41.49
125,42.64
126,42.16
127,43.81
127,44.48
128,45.49
129,41.4
129,41.55
130,42.89
131,43.9
131,44.97
132,44.51
133,41.92
134,44.19
134,45.77
135,45.27
136,46.12
136,45.15
137,45.39
138,46.07
138,46.56
139,46.51
140,46.63
141,45.89
141,47.36
142,47.26
143,48.68
143,48.97
144,47.95
145,47.48
146,47.36
146,48.84
147,48.61
148,48.3
148,48.96
149,48.35
150,50.11
150,48.92
151,51.1
152,50.29
153,50.7
153,48.84
154,50.52
155,51.37
155,49.5
156,50.48
157,50.99
158,49.46
158,51.63
159,52.41
160,50.51
160,52.09
161,50.23
162,51.89
162,50.13
163,53.54
164,52.81
165,52.4
165,51.62
166,54.19
167,55.13
167,50.65
168,54.46
169,55.03
169,53.58
170,51.83
171,54.4
172,53.24
172,52.82
173,52.15
174,54.37
174,54.74
175,53.12
176,54.56
177,52.64
177,55.04
178,54.2
179,53.99
179,54.15
180,55.38
181,55.3
181,55.09
182,54.67
183,54.66
184,55.36
184,54.94
185,55.53
